Row ID,Order ID,Order Date,Order Priority,Order Quantity,Target Profit,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,13-Oct-10,Low,6,-203.25,261.54,0.04,Regular Air,-213.25,38.94,35,Muhammed MacIntyre,New York,East,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,20-Oct-10
49,293,1-Oct-12,High,49,467.81,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,New York,East,Consumer,Office Supplies,Appliances,1.7 Cubic Foot Compact  Cube  Office Refrigerators,Jumbo Drum,0.58,2-Oct-12
50,293,1-Oct-12,High,27,56.71,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry French,New York,East,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,3-Oct-12
80,483,10-Jul-11,High,30,1208.97,4965.76,0.08,Regular Air,1198.97,195.99,3.99,Clay Rozendal,New York,East,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,12-Jul-11
85,515,28-Aug-10,Not Specified,19,40.94,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,New York,East,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,30-Aug-10
86,515,28-Aug-10,Not Specified,21,14.43,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,New York,East,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,30-Aug-10
97,613,17-Jun-11,High,12,-44.04,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl Jackson,New York,East,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,17-Jun-11
98,613,17-Jun-11,High,22,137.7,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl Jackson,New York,East,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,18-Jun-11
103,643,24-Mar-11,High,21,-685.26,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,New York,East,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,25-Mar-11
107,678,26-Feb-10,Low,44,-216.36,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,New York,East,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,26-Feb-10
127,807,23-Nov-10,Medium,45,-156.85,196.85,0.01,Regular Air,-166.85,4.28,6.18,Neola Schneider,New York,East,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,24-Nov-10
128,807,23-Nov-10,Medium,32,-4.33,124.56,0.04,Regular Air,-14.33,3.95,2,Neola Schneider,New York,East,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,24-Nov-10
134,868,8-Jun-12,Not Specified,32,144.72,716.84,0,Regular Air,134.72,21.78,5.94,Carlos Daly,New York,East,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,9-Jun-12
135,868,8-Jun-12,Not Specified,31,124.46,1474.33,0.04,Regular Air,114.46,47.98,3.61,Carlos Daly,New York,East,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,10-Jun-12
